SMILES,Source
COc1cccc2sc(N3C(=O)[C@@H](C)[C@@H]4[C@@H]3CCN4C(=O)[C@@H]3CCCN3C(=O)Nc3ccc(C(C)C)cc3)nc12,Preprocessed
COc1cc(OC)cc(C(=O)Nc2ccc(N3CCc4ccccc4C3)c(C(=O)N3CCCC3)c2)c1,Preprocessed
CC(C)N1CCN(C(=O)c2ccc(OC(=O)C3CCCc4ccccc43)cc2)CC1,Preprocessed
COc1cccc(OC)c1C(=O)Nc1ccc(N2CCN(C(=O)c3ccc4ccccc4c3)CC2)cc1,Preprocessed
COc1cc(OC)cc(C(=O)Nc2ccc(S(=O)(=O)Nc3nc(C)cc(C)n3)cc2)c1,Preprocessed
COc1ccc(CN(CC(=O)NCc2ccco2)C(=O)CCC(=O)Nc2nccs2)cc1,Preprocessed
CCS(=O)(=O)O.CN(C)C(=O)c1cccc(COc2ccc(N)cc2Cl)c1,Preprocessed
CCN1c2ncc(C(=O)N(C)c3ccccc3)cc2C(=O)N(C)c2ccc(Cl)nc21,Preprocessed
CCOC(=O)COc1c(Cl)cc(/C=C2/N=C(c3ccco3)OC2=O)cc1OCC,Preprocessed
CCOc1ccc(-n2nc3cc(C)c(NC(=O)c4cc(OC)c(OC)c(OC)c4)cc3n2)cc1,Preprocessed
CCOc1ccc(NS(=O)(=O)c2ccc(NC(=O)c3ccccc3Br)cc2)cc1,Preprocessed
CCOC(=O)c1c(-c2ccccc2Cl)csc1NC(=O)c1cc(OC)c(OC)c(OC)c1,Preprocessed
CCCCCCCCCCSc1ncnc2c1ncn2CC(=O)OCc1ccccc1,Preprocessed
Cc1cccc(C(=O)N[C@@H](c2nnc(SCC(=O)Nc3ccccc3Cl)n2C)C(C)C)c1,Preprocessed
CCOc1ccc(-n2c(Cc3ccccc3)nnc2SCC(=O)Nc2ccccc2Cl)cc1,Preprocessed
CCOc1cc(C(=O)Nc2cccc(Cl)c2N2CCOCC2)cc(OCC)c1OCC,Preprocessed
CC(=O)Nc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2CCOC2)cc1Cl,Preprocessed
C1COCCOCCOCCOCCOCCO1.Cc1ccc(S(C)(=O)=O)cc1.Cc1ccc(S(C)(=O)=O)cc1,Preprocessed
CCN(CC)c1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(N(CC)CC)cc3)n2)cc1,Preprocessed
